Pricing Date,MSAG | Share Price (Daily)($)
07/25/2023,1.789659743703049
07/24/2023,1.804894253128114
07/21/2023,1.8016014234875446
07/20/2023,1.8056174765938477
07/19/2023,1.8027096629716717
07/18/2023,1.8087855297157625
07/17/2023,1.808582341046956
07/14/2023,1.7979548263849872
07/13/2023,1.7909111260353705
07/12/2023,1.7902813299232738
07/11/2023,1.7694252115617102
07/10/2023,1.757276221856123
07/07/2023,1.7630310994305738
07/06/2023,1.737996958505323
07/05/2023,1.740265390472047
07/04/2023,1.7545771578029643
07/03/2023,1.7568747271933656
06/30/2023,1.7576419213973797
06/29/2023,1.7419706042460534
06/28/2023,1.7465342211548958
06/27/2023,1.7532325224632919
06/26/2023,1.7459624618070713
06/23/2023,1.762977473065622
06/22/2023,1.7755370451556336
06/21/2023,1.7739816031537452
06/20/2023,1.7777293052677499
06/19/2023,1.7919580419580419
06/16/2023,1.7587939698492465
06/15/2023,1.7697181559973785
06/14/2023,1.7361111111111112
06/13/2023,1.7388486877632574
06/12/2023,1.7204301075268817
06/09/2023,1.7423101742310176
06/08/2023,1.723952160327551
06/07/2023,1.7878171501980515
06/06/2023,1.68875587858059
06/05/2023,1.6925549009105518
06/02/2023,1.7056425659729673
06/01/2023,1.7500536826283013
05/31/2023,1.715869125013322
05/30/2023,1.7259862778730706
05/29/2023,1.7457427439220303
05/26/2023,1.755324842127796
05/25/2023,1.7589017589017586
05/24/2023,1.7649591046061126
05/23/2023,1.756087050204697
05/22/2023,1.7928501998055946
05/19/2023,1.805795847750865
05/18/2023,1.7013028965220203
05/17/2023,1.7754682256143768
05/16/2023,1.770392092972738
05/15/2023,1.8264840182648403
05/12/2023,1.7484795829713295
05/11/2023,1.8017034286962221
05/10/2023,1.8221734357848516
05/09/2023,1.807822942916621
05/08/2023,1.8179814896430146
05/05/2023,1.6857646540326137
05/04/2023,1.7495598591549295
05/03/2023,1.7689331122166945
05/02/2023,1.7794376098418279
04/28/2023,1.710627966008167
04/27/2023,1.7083654799955912
04/26/2023,1.7673699326190215
04/25/2023,1.7353102690829216
04/24/2023,1.8081587651598674
04/21/2023,1.8113953233066198
04/20/2023,1.7330262147636286
04/19/2023,1.7976542803902222
04/18/2023,1.8311403508771926
04/17/2023,1.790784013976851
