Pricing Date,STMPA | Share Price (Daily)($)
10/30/2023,37.41644562334218
10/27/2023,39.762736998199344
10/26/2023,41.02253580454928
10/25/2023,39.30235020114334
10/24/2023,39.63362981787378
10/23/2023,40.22872340425532
10/20/2023,39.974578964092785
10/19/2023,41.17927022739291
10/18/2023,41.98356683872327
10/17/2023,43.03027095681626
10/16/2023,43.5245728749209
10/13/2023,43.212598425196845
10/12/2023,44.772103819371175
10/11/2023,44.989384288747345
10/10/2023,45.239609838846484
10/09/2023,43.85215649056205
10/06/2023,44.47911158117398
10/05/2023,43.15118972415245
10/04/2023,43.30005254860747
10/03/2023,42.22559380558752
10/02/2023,43.14240672622176
09/29/2023,43.37955122777308
09/28/2023,42.799027895181744
09/27/2023,41.88933305280876
09/26/2023,42.02093908629442
09/25/2023,42.71947474319602
09/22/2023,42.91346973572038
09/21/2023,43.05822136916188
09/20/2023,43.632758066245046
09/19/2023,43.20123905148473
09/18/2023,43.42020935697501
09/15/2023,44.11011523687581
09/14/2023,44.528
09/13/2023,44.39131836252283
09/12/2023,44.28172942817294
09/11/2023,44.14830736163353
09/08/2023,44.33254767516606
09/07/2023,43.96468699839487
09/06/2023,45.911915987998285
09/05/2023,46.59310049282195
09/04/2023,46.89353899255744
09/01/2023,47.01532815198618
08/31/2023,47.359002169197396
08/30/2023,47.74764924557184
08/29/2023,47.83669486011711
08/28/2023,46.645056726094005
08/25/2023,45.72290454643395
08/24/2023,46.04137333477743
08/23/2023,47.298177083333336
08/22/2023,47.319587628865975
08/21/2023,46.33097441480675
08/18/2023,45.840130505709624
08/17/2023,46.024148808876326
08/16/2023,47.0328351696302
08/15/2023,47.25226701627882
08/14/2023,47.51691770355817
08/11/2023,47.303518579414664
08/10/2023,49.00859220092531
08/09/2023,48.45191040843214
08/08/2023,48.58784893267652
08/07/2023,49.48283450704225
08/04/2023,50.11590683298377
08/03/2023,51.02375999124056
08/02/2023,52.389545056867895
08/01/2023,53.21820175438595
07/31/2023,53.58717214018074
07/28/2023,53.36310508325064
07/27/2023,55.45664358720739
07/26/2023,51.30107407817517
07/25/2023,51.68471056120194
07/24/2023,50.57025800022146
07/21/2023,50.83407473309609
07/20/2023,51.52139991083371
07/19/2023,52.55290560967417
07/18/2023,52.572744635434226
07/17/2023,52.58368905863851
07/14/2023,53.1857512080009
07/13/2023,52.79829863443027
07/12/2023,51.69020349160458
07/11/2023,48.80206616111661
07/10/2023,48.44041735310269
07/07/2023,47.96320630749014
07/06/2023,46.75754942428851
07/05/2023,49.34740047857298
07/04/2023,49.65671316477768
07/03/2023,49.934526407682235
06/30/2023,49.74344978165938
06/29/2023,48.562874251497
06/28/2023,48.39537168431394
06/27/2023,47.200306815691434
06/26/2023,47.501091226538634
06/23/2023,46.397867014909124
06/22/2023,47.906619903551075
06/21/2023,47.683968462549274
06/20/2023,48.60399171120078
06/19/2023,49.16958041958042
06/16/2023,49.81975092855582
06/15/2023,49.68866069477824
06/14/2023,50.08680555555555
06/13/2023,49.28177988983692
06/12/2023,48.83333333333333
06/09/2023,47.429554742955474
06/08/2023,46.91843551341451
06/07/2023,46.124611925917996
06/06/2023,44.61842667806754
06/05/2023,44.56347080878415
06/02/2023,45.06543660158764
06/01/2023,44.84646768305777
05/31/2023,43.26441436640733
05/30/2023,43.589193825042884
05/29/2023,43.04915925886259
05/26/2023,43.54061864497485
05/25/2023,42.01522951522951
05/24/2023,42.29982780886784
05/23/2023,44.753285929756515
05/22/2023,45.18846527702776
05/19/2023,44.912413494809684
05/18/2023,44.30924948853236
05/17/2023,43.00638735520191
05/16/2023,42.90213967633322
05/15/2023,42.155903457273325
05/12/2023,42.32732406602954
05/11/2023,41.766761301594244
05/10/2023,42.963776070252464
05/09/2023,42.330448120959794
05/08/2023,42.650947553988544
05/05/2023,42.49669457910974
05/04/2023,41.345730633802816
05/03/2023,42.53731343283582
05/02/2023,43.0085676625659
04/28/2023,42.561527425229
04/27/2023,42.554833021051465
04/26/2023,46.72484259361537
04/25/2023,46.00219659527732
04/24/2023,46.75303197353914
04/21/2023,47.436601163684266
04/20/2023,47.57047274322694
04/19/2023,49.386166831086264
04/18/2023,50.46052631578947
04/17/2023,49.939943219043464
04/14/2023,50.63750274785667
04/13/2023,51.23231653404067
04/12/2023,50.09881422924901
04/11/2023,50.68762278978389
04/06/2023,50.16380910778639
04/05/2023,49.874413017363764
04/04/2023,52.131506849315066
04/03/2023,52.65019590770571
03/31/2023,53.18883094306823
03/30/2023,53.00436205016357
03/29/2023,51.30538403206586
03/28/2023,48.25978531931042
03/27/2023,49.42857142857142
03/24/2023,48.843588640275385
03/23/2023,51.39418364012635
03/22/2023,50.048554164868364
03/21/2023,49.35952637244348
03/20/2023,48.612747723620785
03/17/2023,48.41701311160857
03/16/2023,48.052016985138
03/15/2023,46.496311907270815
03/14/2023,49.158628081457664
03/13/2023,47.62415531481283
03/10/2023,49.338737201365184
03/09/2023,49.756716733657704
03/08/2023,49.11780243000529
03/07/2023,47.58303363655595
03/06/2023,48.931966250133506
03/03/2023,48.02310790756837
03/02/2023,46.898197242841995
03/01/2023,48.778014941302025
02/28/2023,48.22186836518046
02/27/2023,48.2413391249073
02/24/2023,47.066891749314195
02/23/2023,47.902542372881356
02/22/2023,47.41654263236232
02/21/2023,48.036495571443815
02/20/2023,48.503793951052685
02/17/2023,48.949669439112824
02/16/2023,49.6797608881298
02/15/2023,49.26902144915164
02/14/2023,48.94815927873779
02/13/2023,48.63894545064837
02/10/2023,47.98163178129005
02/09/2023,49.61294484464036
02/08/2023,48.47655830919429
02/07/2023,48.41176470588235
02/06/2023,48.43783551642689
02/03/2023,50.03798155181769
02/02/2023,49.76492455718347
02/01/2023,48.329511955453654
01/31/2023,46.82306940371456
01/30/2023,47.35898271926965
01/27/2023,47.42726877985237
01/26/2023,46.315789473684205
01/25/2023,42.969175471081584
01/24/2023,42.522297150315424
01/23/2023,42.451086956521735
01/20/2023,41.238621586475944
01/19/2023,41.06314085267135
01/18/2023,42.741237559498046
01/17/2023,41.82868870166343
01/16/2023,41.09307359307359
01/13/2023,40.95531753759602
01/12/2023,40.49756625202812
01/11/2023,40.162348134609175
01/10/2023,39.87110633727175
01/09/2023,40.05910800644814
01/06/2023,37.619401400976436
01/05/2023,36.38421052631578
01/04/2023,36.46054306321595
01/03/2023,35.365467777660584
01/02/2023,35.60848252344416
12/30/2022,35.26237041786897
12/29/2022,35.724946695095944
12/28/2022,34.85234756745273
12/27/2022,35.41600085224246
12/23/2022,35.693043016463086
12/22/2022,35.91862682771774
12/21/2022,37.26655348047537
12/20/2022,36.71625929861849
12/19/2022,36.7600254614895
12/16/2022,37.04803308238787
12/15/2022,37.662199532014455
12/14/2022,39.66435801811401
12/13/2022,40.18950282124987
12/12/2022,38.425097378671445
12/09/2022,38.88186321003268
12/08/2022,38.41489137312803
12/07/2022,37.41475186234393
12/06/2022,38.11803071744162
12/05/2022,38.50357292980244
12/02/2022,38.476460102757684
12/01/2022,38.71628004618452
11/30/2022,37.181602557492006
11/29/2022,36.966187571088824
11/28/2022,37.7466251298027
11/25/2022,38.67110325465322
11/24/2022,38.93455415669546
11/23/2022,38.74261428423344
11/22/2022,37.988080558980684
11/21/2022,37.853483606557376
11/18/2022,38.336787564766844
11/17/2022,37.89489985546149
11/16/2022,38.15666285238739
11/15/2022,39.09204238520674
11/14/2022,38.21705426356589
11/11/2022,37.058458996075196
11/10/2022,36.35901606017483
11/09/2022,33.34338257461562
11/08/2022,33.77343277565007
11/07/2022,32.093581283743255
11/04/2022,31.626685170499606
11/03/2022,30.167870388444275
11/02/2022,30.962714539356874
11/01/2022,31.403612673970986
10/31/2022,31.24690991792742
10/28/2022,31.60485234165258
10/27/2022,32.52776943860703
10/26/2022,35.17567703614215
10/25/2022,35.092269326683294
10/24/2022,33.654511315347364
10/21/2022,32.67457826598666
10/20/2022,33.02202123476209
10/19/2022,32.09254549011935
10/18/2022,32.228116710875334
10/17/2022,31.971153846153843
10/14/2022,31.18604424520027
10/13/2022,31.749829118250172
10/12/2022,30.835273573923168
10/11/2022,31.093825960136122
10/10/2022,31.987396994667954
10/07/2022,32.91133053084368
10/06/2022,34.93857493857493
10/05/2022,34.49176772158139
10/04/2022,34.358182180586006
10/03/2022,32.19380226266602
09/30/2022,31.618944891155124
09/29/2022,31.05098652080484
09/28/2022,32.420443587270974
09/27/2022,33.14455749664043
09/26/2022,32.89600617403049
09/23/2022,32.83422459893048
09/22/2022,34.02709601413705
09/21/2022,36.389218009478675
09/20/2022,35.66576765557886
09/19/2022,35.830830830830834
09/16/2022,35.39286430146321
09/15/2022,35.74212893553223
09/14/2022,35.865
09/13/2022,35.70642385431259
09/12/2022,37.39236146287103
09/09/2022,37.088353413654616
09/08/2022,36.029704944178626
09/07/2022,35.49606926062295
09/06/2022,34.591381872213965
09/05/2022,34.454365079365076
09/02/2022,35.70926966292134
09/01/2022,34.029020075531704
08/31/2022,34.99345351999194
08/30/2022,35.34007813282581
08/29/2022,35.05994005994006
08/26/2022,35.54722638680659
08/25/2022,36.39625274068168
08/24/2022,35.83117142286968
08/23/2022,35.727854429114174
08/22/2022,35.4000796178344
08/19/2022,36.76706827309237
08/18/2022,37.607704004054746
08/17/2022,36.550391538696225
08/16/2022,38.23140327668668
08/15/2022,38.1223907952347
08/12/2022,38.065210704398645
08/11/2022,38.212515489467165
08/10/2022,37.899803332988306
08/09/2022,36.25345197913471
08/08/2022,38.22176801226367
08/05/2022,38.18809668901076
08/04/2022,39.53964194373402
08/03/2022,38.96097313735429
08/02/2022,38.32976445396146
08/01/2022,38.27820012327923
07/29/2022,37.66829865361077
07/28/2022,36.86109135250483
07/27/2022,35.45592705167173
07/26/2022,34.278481012658226
07/25/2022,34.8667415500868
07/22/2022,34.686158249846656
07/21/2022,34.70354523227383
07/20/2022,34.41836734693877
07/19/2022,33.821421257423715
07/18/2022,33.19097010372178
07/15/2022,32.5882946518668
07/14/2022,31.33259911894273
07/13/2022,31.402623612512613
07/12/2022,31.2902576489533
07/11/2022,31.004234724742886
07/08/2022,31.37913486005089
07/07/2022,30.676156583629894
07/06/2022,29.863585462689606
07/05/2022,28.649728511423014
07/04/2022,29.789341954322666
07/01/2022,30.268358643644685
06/30/2022,31.361070457871627
06/29/2022,32.226991938016965
06/28/2022,33.07546574044837
06/27/2022,33.787798408488065
06/24/2022,33.5337552742616
06/23/2022,32.72344900105153
06/22/2022,33.54698590952432
06/21/2022,34.11441840827528
06/20/2022,33.17712721145745
06/17/2022,33.17463639217327
06/16/2022,33.230009456761586
06/15/2022,35.067096639966714
06/14/2022,33.86122108772661
06/13/2022,33.931365390633154
06/10/2022,36.30958644638535
06/09/2022,38.35820895522388
06/08/2022,39.74551701922044
06/07/2022,39.326203208556144
06/06/2022,39.60004277617367
06/03/2022,39.54448017148982
06/02/2022,40.46341986698133
06/01/2022,39.4694790667945
05/31/2022,39.94206630189893
05/30/2022,40.8032345013477
05/27/2022,39.93464752517677
05/26/2022,39.031323750268186
05/25/2022,38.21142552055526
05/24/2022,38.17596566523605
05/23/2022,39.37272921564437
05/20/2022,38.817385800189896
05/19/2022,39.539438856537856
05/18/2022,39.206632385349984
05/17/2022,40.178007162418375
05/16/2022,38.64440282979609
05/13/2022,39.429582596023735
05/12/2022,37.21753618660835
05/11/2022,36.241433842909856
05/10/2022,35.21171266062777
05/09/2022,35.183819656589066
05/06/2022,36.83123212204683
05/05/2022,36.873621178695245
05/04/2022,36.991655223407626
05/03/2022,37.6594623089088
05/02/2022,36.63059466274427
04/29/2022,37.65939508905048
04/28/2022,37.451331158581496
04/27/2022,36.925590219224276
04/26/2022,37.14300937766411
04/25/2022,37.7959927140255
04/22/2022,38.06187345046891
04/21/2022,39.06080347448426
04/20/2022,38.74715014656389
04/19/2022,37.343480138169255
04/14/2022,36.91235275045931
04/13/2022,37.63703462498643
04/12/2022,37.755323772272924
04/11/2022,37.95993903766602
04/08/2022,38.106373721992604
04/07/2022,38.436375531566895
04/06/2022,38.84162303664922
04/05/2022,40.022948311659924
04/04/2022,42.51401560954161
04/01/2022,42.66556291390728
03/31/2022,43.9791157520551
03/30/2022,45.479910714285715
03/29/2022,45.998445998445995
03/28/2022,44.24934152765584
03/25/2022,44.1544885177453
03/24/2022,43.88888888888889
03/23/2022,43.019033997139395
03/22/2022,43.16629955947136
03/21/2022,42.80980781974817
03/18/2022,42.82079646017699
03/17/2022,41.831518115136696
03/16/2022,41.575877627379775
03/15/2022,38.48680608781343
03/14/2022,38.03273286467487
03/11/2022,38.32384497481936
03/10/2022,38.666373239436616
03/09/2022,39.85153999556836
03/08/2022,35.62016770118698
03/07/2022,36.424847958297136
03/04/2022,37.10980135341629
03/03/2022,40.39120344789479
03/02/2022,40.88740987243484
03/01/2022,41.06368789596532
02/28/2022,42.605277933745086
02/25/2022,43.110635421360975
02/24/2022,40.87111507185028
02/23/2022,42.36425339366516
02/22/2022,42.77046949421638
02/21/2022,42.61904761904762
02/18/2022,43.34768812330009
02/17/2022,44.476017276653785
02/16/2022,45.36721236925875
02/15/2022,45.13123508692195
02/14/2022,44.19577257827512
02/11/2022,45.62614051094891
02/10/2022,46.74325100516944
02/09/2022,46.729185727355905
02/08/2022,44.93605846083581
02/07/2022,44.50348531596389
02/04/2022,44.37578670328413
02/03/2022,45.36931168534186
02/02/2022,46.723904202440124
02/01/2022,46.61007420733078
01/31/2022,46.191756272401435
01/28/2022,44.681326040852774
01/27/2022,45.243671238987396
01/26/2022,44.86629809319644
01/25/2022,43.55329949238578
01/24/2022,43.77191990044122
01/21/2022,46.14381308835205
01/20/2022,46.97811543258873
01/19/2022,46.92997389626603
01/18/2022,48.3399433427762
01/17/2022,49.760438056125935
01/14/2022,49.069103369503146
01/13/2022,50.36123853211009
01/12/2022,48.66346812885538
01/11/2022,48.7615043745029
01/10/2022,48.05753765998414
01/07/2022,50.3288727602631
01/06/2022,48.485533453887875
01/05/2022,49.399705515913475
01/04/2022,48.83050847457628
01/03/2022,49.68383017163505
12/31/2021,49.32332537245536
12/30/2021,49.52445652173913
12/29/2021,49.699273717657746
12/28/2021,49.824640796470185
12/27/2021,49.762174405436014
12/24/2021,49.22520076914377
12/23/2021,48.676021274188074
12/22/2021,48.220358195420545
12/21/2021,47.14929577464789
12/20/2021,46.745027124773955
12/17/2021,46.64561957379636
12/16/2021,47.36604114854171
12/15/2021,48.01757152511828
12/14/2021,47.01307484220018
12/13/2021,47.972896668548834
12/10/2021,48.05973526417015
12/09/2021,48.36944256375537
12/08/2021,48.93460274283124
12/07/2021,49.910071942446045
12/06/2021,47.383557009135
12/03/2021,47.26267073033073
12/02/2021,47.416035282144065
12/01/2021,50.900339750849376
11/30/2021,48.60798016230839
11/29/2021,48.489800518426684
11/26/2021,47.453887065746294
11/25/2021,48.789101917255294
11/24/2021,48.914138587260716
11/23/2021,49.453644249183284
11/22/2021,51.48102263768442
11/19/2021,51.86233442771426
11/18/2021,51.52065365410804
11/17/2021,51.62201876342263
11/16/2021,51.20208664096167
11/15/2021,51.307973497829565
11/12/2021,51.28792215226101
11/11/2021,50.722311396468704
11/10/2021,50.063437139561714
11/09/2021,51.25028941884696
11/08/2021,51.77909133055169
11/05/2021,50.889761959787386
11/04/2021,50.069284064665126
11/03/2021,49.11975909196202
11/02/2021,48.36094057685626
11/01/2021,47.63587901263182
10/29/2021,47.31151711378354
10/28/2021,48.25954911809367
10/27/2021,45.022598215320436
10/26/2021,45.05507246376812
10/25/2021,44.425734525606785
10/22/2021,44.12585785739211
10/21/2021,43.607359105728925
10/20/2021,42.99021891010713
10/19/2021,43.11147312078193
10/18/2021,42.58528660942214
10/15/2021,42.38979118329466
10/14/2021,42.17935349322211
10/13/2021,41.46609581115483
10/12/2021,40.811497171880404
10/11/2021,41.598194653396604
10/08/2021,41.69656289781276
10/07/2021,42.64978024520009
10/06/2021,41.87521623803483
10/05/2021,42.90689575110285
10/04/2021,41.90194028116649
10/01/2021,43.270345467192215
09/30/2021,43.77028280018544
09/29/2021,43.57574349442378
09/28/2021,43.909133380051394
09/27/2021,46.302363678914105
09/24/2021,46.21779859484777
09/23/2021,46.54970073934984
09/22/2021,45.85045193097782
09/21/2021,45.43590344504335
09/20/2021,44.8773618119939
09/17/2021,45.65089799272215
09/16/2021,47.04705882352942
09/15/2021,46.832900023635084
09/14/2021,46.706870048480546
09/13/2021,45
09/10/2021,45.233025786609886
09/09/2021,44.44641380125251
09/08/2021,44.364366729678636
09/07/2021,45.25219038598153
09/06/2021,45.308422301304866
09/03/2021,45.03862150920975
09/02/2021,45
09/01/2021,44.94488562285172
08/31/2021,44.51723323890464
08/30/2021,44.725041302808584
08/27/2021,43.939393939393945
08/26/2021,42.98482888392332
08/25/2021,43.202913876160274
08/24/2021,43.03172737955346
08/23/2021,42.795963862489735
08/20/2021,42.51168224299065
08/19/2021,41.89552413228935
08/18/2021,42.684925093632955
08/17/2021,42.291471415182755
08/16/2021,43.04819135147873
08/13/2021,43.06112815671466
08/12/2021,42.930892878094575
08/11/2021,42.53021945781012
08/10/2021,42.70723414233791
08/09/2021,42.880639097744364
08/06/2021,42.27737913186684
08/05/2021,42.391947898164595
08/04/2021,42.034560302994436
