Pricing Date,KOA | Share Price (Daily)($)
01/03/2023,0.26154502502578153
01/02/2023,0.2633328711682891
12/30/2022,0.2557848484018015
12/29/2022,0.2536128197842269
12/28/2022,0.24880024677748055
12/27/2022,0.2501019160211986
12/26/2022,0.24736151103589488
12/23/2022,0.24682908655014335
12/22/2022,0.2448892782450615
12/21/2022,0.24764760152282975
12/20/2022,0.2444765841053912
12/19/2022,0.24568511727578207
12/16/2022,0.2459160372387142
12/15/2022,0.25213763342113793
12/14/2022,0.25571747118817295
12/13/2022,0.25692272547069206
12/12/2022,0.24860174021218148
12/09/2022,0.2553440726276369
12/08/2022,0.2503891046686551
12/07/2022,0.24934775248451538
12/06/2022,0.25633471421385007
12/05/2022,0.2597808918740254
12/02/2022,0.26591951095262356
12/01/2022,0.2686910380983807
11/30/2022,0.26329160700263293
11/29/2022,0.26335586910933567
11/28/2022,0.25966297909172054
11/25/2022,0.2624257691179297
11/24/2022,0.26024539728779916
11/23/2022,0.25580600442448165
11/22/2022,0.2521414789476639
11/21/2022,0.24601847470488958
11/18/2022,0.24940402665554706
11/17/2022,0.24426646858090617
11/16/2022,0.24988655150561645
11/15/2022,0.2611763382273761
11/14/2022,0.2613287407670838
11/11/2022,0.261577155192377
11/10/2022,0.25848263387682485
11/09/2022,0.25173942258722287
11/08/2022,0.25321151700197564
11/07/2022,0.26593925798843626
11/04/2022,0.2645785710811731
11/03/2022,0.26087853068065836
11/02/2022,0.2676568750626267
11/01/2022,0.26526299137557674
10/31/2022,0.26286291583479665
10/28/2022,0.2607798670215849
10/27/2022,0.2590777418979546
10/26/2022,0.25462321617413497
10/25/2022,0.2459146820708909
10/24/2022,0.24565823297064068
10/21/2022,0.2411471498429047
10/20/2022,0.24405494452479762
10/19/2022,0.24353166147214134
10/18/2022,0.24333055636184062
10/17/2022,0.2341884847530971
10/14/2022,0.23042338656757275
10/13/2022,0.22963909143613986
10/12/2022,0.21977940315865546
10/11/2022,0.22261690655879457
10/10/2022,0.2218660486067952
10/07/2022,0.21971300340733405
10/06/2022,0.20954775426207178
10/05/2022,0.20802693798102695
10/04/2022,0.21364400493729577
10/03/2022,0.20495216846881076
09/30/2022,0.19997458886439845
09/29/2022,0.1980465493229994
09/28/2022,0.2019492085686548
09/27/2022,0.20755819174414608
09/26/2022,0.2080198241591138
09/23/2022,0.21205023116874044
09/22/2022,0.22526909006830026
09/21/2022,0.2270942217998817
09/20/2022,0.2313704630606592
09/19/2022,0.22805750557717555
09/16/2022,0.2374177877245993
09/15/2022,0.24446816837153643
09/14/2022,0.24460168052247713
09/13/2022,0.2452852110892749
09/12/2022,0.25473822242326594
09/09/2022,0.24972966109125214
09/08/2022,0.24005813814958663
09/07/2022,0.23647608792447905
09/06/2022,0.23758546032932265
09/05/2022,0.2426458634800916
09/02/2022,0.24750983409608684
09/01/2022,0.24509049380570516
08/31/2022,0.256954473843831
08/30/2022,0.26010961762457036
08/29/2022,0.2643412830388182
08/26/2022,0.2678288365811783
08/25/2022,0.27034110443627696
08/24/2022,0.2704066730587227
08/23/2022,0.26684291221713674
08/22/2022,0.25986444414893883
08/19/2022,0.27042736088592495
08/18/2022,0.2718367987705375
08/17/2022,0.26874971705140815
08/16/2022,0.27486039984955013
08/15/2022,0.26981784201422737
08/12/2022,0.27041378943404026
08/11/2022,0.2719915015803064
08/10/2022,0.27231826961190964
08/09/2022,0.2719659888104834
08/08/2022,0.289490764111387
08/05/2022,0.28414403134933863
08/04/2022,0.28541039550899555
08/03/2022,0.28797947402180885
08/02/2022,0.2866095366547691
08/01/2022,0.2867508815300594
07/29/2022,0.2861490433634599
07/28/2022,0.28332674354525134
07/27/2022,0.2842639181043379
07/26/2022,0.28106716616201877
07/25/2022,0.2845784656105598
07/22/2022,0.279417520386383
07/21/2022,0.278441608390908
07/20/2022,0.27765500060272424
07/19/2022,0.28130132614922687
07/18/2022,0.26703198816549223
07/15/2022,0.2560627787144861
07/14/2022,0.24603909179652336
07/13/2022,0.2487669810504456
07/12/2022,0.24862135731967352
07/11/2022,0.2492865940629291
07/08/2022,0.24936022029466598
07/07/2022,0.2425962556140024
07/06/2022,0.232352126790555
07/05/2022,0.23435613423222637
07/04/2022,0.24523312880321968
07/01/2022,0.24159145360200013
06/30/2022,0.24131362065579806
06/29/2022,0.25082494888353546
06/28/2022,0.25902492275543104
06/27/2022,0.25188787917573274
06/24/2022,0.24684702577707157
06/23/2022,0.23981971342146804
06/22/2022,0.24202891810849447
06/21/2022,0.24561660979775868
06/20/2022,0.24017352385345975
06/17/2022,0.2299652957836372
06/16/2022,0.22871319365515644
06/15/2022,0.23750998371617155
06/14/2022,0.2414048359098208
06/13/2022,0.2442152892102898
06/10/2022,0.2707126147945477
06/09/2022,0.283381575174602
06/08/2022,0.28361037276322987
06/07/2022,0.2788944564720167
06/06/2022,0.27890627984870286
06/03/2022,0.2782713293703317
06/02/2022,0.27772516487936516
06/01/2022,0.2880355363578826
05/31/2022,0.292952196981569
05/30/2022,0.29495637369653116
05/27/2022,0.2922533874824458
05/25/2022,0.2853185797336402
05/24/2022,0.2872868281699537
05/23/2022,0.29243359320487633
05/20/2022,0.28052960713569036
05/19/2022,0.28176184631303186
05/18/2022,0.2743937581030313
05/17/2022,0.27185654243959717
05/16/2022,0.2675080455841846
05/13/2022,0.2726506635249456
05/12/2022,0.23608888888888888
05/11/2022,0.2449093473734248
05/10/2022,0.23971259201596437
05/09/2022,0.24287084091442732
05/06/2022,0.2562466761706514
