Pricing Date,BP. | Share Price (Daily)($)
01/09/2023,5.846761896629543
01/06/2023,5.746274949108036
01/05/2023,5.6151355726426555
01/04/2023,5.606638664564502
01/03/2023,5.793757341835878
12/30/2022,5.722031447677571
12/29/2022,5.7975471220288695
12/28/2022,5.777996945022432
12/23/2022,5.775376563234885
12/22/2022,5.747997402035072
12/21/2022,5.800954740467701
12/20/2022,5.66956542832539
12/19/2022,5.679369986732719
12/16/2022,5.534288526741769
12/15/2022,5.692760778179685
12/14/2022,5.831760147051519
12/13/2022,5.835676854272228
12/12/2022,5.666948726438813
12/09/2022,5.682531091237868
12/08/2022,5.670443295567045
12/07/2022,5.6494423610772895
12/06/2022,5.80910070005385
12/05/2022,5.895550596871152
12/02/2022,5.890639163134814
12/01/2022,5.994195018002792
11/30/2022,5.9368250217783025
11/29/2022,5.891191647809585
11/28/2022,5.814904337578315
11/25/2022,5.902865914832408
11/24/2022,5.863984186463904
11/23/2022,5.826729866965783
11/22/2022,5.792147367421544
11/21/2022,5.4030945585772585
11/18/2022,5.675166601099151
11/17/2022,5.6380748209574065
11/16/2022,5.719327012190774
11/15/2022,5.6683697718631185
11/14/2022,5.633456046146271
11/11/2022,5.630089911971001
11/10/2022,5.489027774538839
11/09/2022,5.501666134112384
11/08/2022,5.616457364878928
11/07/2022,5.753927301914918
11/04/2022,5.647046863881265
11/03/2022,5.515877007678637
11/02/2022,5.5491269877640805
11/01/2022,5.572164948453607
10/31/2022,5.5155765030463275
10/28/2022,5.480809345014602
10/27/2022,5.5895794186559025
10/26/2022,5.407663564416182
10/25/2022,5.35012524992531
10/24/2022,5.308994792666811
10/21/2022,5.205846419404373
10/20/2022,5.206533157127851
10/19/2022,5.119770580296896
10/18/2022,5.025848835109265
10/17/2022,5.130239247557301
10/14/2022,5.104318564217611
10/13/2022,5.185583342763381
10/12/2022,4.978119980058716
10/11/2022,5.027380674686483
10/10/2022,5.102896551724138
10/07/2022,5.21668538638613
10/06/2022,5.1505963436192355
10/05/2022,5.176661154793643
10/04/2022,5.198325555860555
10/03/2022,5.004634968007415
09/30/2022,4.826003142306364
09/29/2022,4.762928421029423
09/28/2022,4.687752051362018
