Pricing Date,EXE | Share Price (Daily)($)
06/08/2023,54.5199870703588
06/07/2023,53.74156942511509
06/06/2023,53.869174861051725
06/05/2023,54.63310123192287
06/02/2023,53.85110491310878
06/01/2023,54.75628086751127
05/31/2023,54.35361824576361
05/30/2023,55.10291595197256
05/29/2023,56.12080968191067
05/26/2023,54.80038531520925
05/25/2023,55.98455598455598
05/24/2023,55.746879035729656
05/23/2023,55.59146735617324
05/22/2023,55.94556647586132
05/19/2023,54.714532871972324
05/18/2023,54.26940885108216
05/17/2023,54.996210890981914
05/16/2023,55.392636037797324
05/15/2023,55.664274842357045
05/12/2023,55.3866203301477
05/11/2023,56.34417995195459
05/10/2023,56.6410537870472
05/09/2023,56.75468390489756
05/08/2023,56.41251652710446
05/05/2023,56.41251652710446
05/04/2023,56.11795774647887
05/03/2023,56.384742951907135
05/02/2023,56.01933216168717
04/28/2023,56.064452047235406
04/27/2023,56.431169403725335
04/26/2023,56.3349166022313
04/25/2023,56.23283909939594
04/24/2023,53.8037486218302
04/21/2023,53.683170490723455
04/20/2023,53.9651201052978
04/19/2023,54.03924147758412
04/18/2023,54.3859649122807
04/17/2023,53.83271456649924
04/14/2023,53.19850516597054
04/13/2023,53.38196286472148
04/12/2023,52.920509442248566
04/11/2023,52.390307793058284
04/06/2023,53.074150922791304
04/05/2023,53.62018128207928
04/04/2023,54.35616438356164
04/03/2023,54.309969525468006
03/31/2023,54.21555845284659
03/30/2023,54.52562704471101
03/29/2023,54.16531253385332
03/28/2023,54.21229534858506
03/27/2023,53.908355795148246
03/24/2023,53.57142857142857
03/23/2023,54.67813963620521
03/22/2023,53.94907207596029
03/21/2023,53.821313240043054
03/20/2023,54.20460632029995
03/17/2023,54.57840315531393
03/16/2023,55.62632696390658
03/15/2023,55.42676501580611
03/14/2023,54.662379421221864
03/13/2023,55.13246808967071
03/10/2023,55.46075085324232
03/09/2023,55.42627459276496
03/08/2023,55.57316428948759
03/07/2023,55.637825259149565
03/06/2023,54.46972124319129
03/03/2023,52.7877888488446
03/02/2023,54.08271474019088
03/01/2023,54.85592315901814
02/28/2023,55.20169851380042
02/27/2023,55.726242186672316
02/24/2023,54.863895336568895
02/23/2023,55.50847457627119
02/22/2023,55.70912183712524
02/21/2023,56.984313307010986
02/20/2023,58.138292187666984
02/17/2023,55.23565792279804
02/16/2023,55.72160546541418
02/15/2023,56.344040123786144
02/14/2023,59.675861328753896
02/13/2023,61.72971814382167
02/10/2023,63.22084579239641
02/09/2023,64.72422320180625
02/08/2023,64.58534492007296
02/07/2023,63.10160427807486
02/06/2023,64.20442344857204
02/03/2023,65.54530656538252
02/02/2023,64.50907500546687
02/01/2023,66.16442843105142
01/31/2023,66.90561529271207
01/30/2023,66.94924464732094
01/27/2023,66.65219279201042
01/26/2023,66.63049376017362
01/25/2023,67.09508768108049
01/24/2023,66.34761801174679
01/23/2023,66.08695652173913
01/20/2023,65.88643259644559
01/19/2023,65.83917970858069
01/18/2023,65.77239290350497
01/17/2023,65.67293151868654
01/16/2023,64.71861471861472
01/13/2023,64.91398896462188
01/12/2023,64.89994591671173
01/11/2023,63.434039350607456
01/10/2023,63.37271750805586
01/09/2023,62.76195593766791
01/06/2023,60.70897898535343
01/05/2023,59.78947368421052
01/04/2023,60.88247772592278
01/03/2023,59.27644763210632
01/02/2023,58.610400682011935
12/30/2022,58.138292187666984
12/29/2022,55.437100213219615
12/28/2022,54.59953261100488
12/27/2022,53.90433578353041
12/23/2022,53.10674455655868
12/22/2022,51.917779190506465
12/21/2022,52.843803056027156
12/20/2022,52.709883103081836
12/19/2022,52.40823254827074
12/16/2022,52.80458063832043
12/15/2022,52.861093384386294
12/14/2022,53.70271710175812
12/13/2022,53.869903119344194
12/12/2022,53.26876513317192
12/09/2022,54.58952471282537
12/08/2022,51.887787386627295
12/07/2022,49.31276885951107
12/06/2022,47.44371975594362
12/05/2022,47.288776796973515
12/02/2022,47.07979448463878
12/01/2022,48.07389524509289
11/30/2022,48.159224502423434
11/29/2022,48.39210009306173
11/28/2022,48.59813084112149
11/25/2022,49.079754601227
11/24/2022,48.59015711164292
11/23/2022,46.024670882139525
11/22/2022,45.21167283189478
11/21/2022,44.15983606557377
11/18/2022,44.55958549222798
11/17/2022,43.15506917200082
11/16/2022,43.69083532716113
11/15/2022,43.735715769790154
11/14/2022,42.894056847545215
11/11/2022,42.86304482544929
11/10/2022,42.28501727993494
11/09/2022,42.00582855994372
11/08/2022,39.30659141302157
11/07/2022,37.59248150369926
11/04/2022,37.47026169706582
11/03/2022,37.185243021667
11/02/2022,38.07457092128625
11/01/2022,38.1995854308558
10/31/2022,39.35528527637694
10/28/2022,36.79029531669484
10/27/2022,34.62423696587612
10/26/2022,35.13540722843048
10/25/2022,35.01246882793018
10/24/2022,34.58839806304971
10/21/2022,34.91565319733229
10/20/2022,34.80141565080613
10/19/2022,34.82684406182744
10/18/2022,35.36693191865606
10/17/2022,35.61616954474096
10/14/2022,35.47412532891531
10/13/2022,36.422224392149204
10/12/2022,37.25261932479628
10/11/2022,38.3082158483228
