Pricing Date,6752 | Share Price (Daily)($),"6752 | Volume (Daily)"
06/15/2023,11.944068882089233,10982800
06/14/2023,12.15766205431475,16584200
06/13/2023,11.949303820064262,13266600
06/12/2023,11.807750471234959,8866900
06/09/2023,11.657538278216053,13858400
06/08/2023,11.586247580952655,8910300
06/07/2023,11.489650734636971,15165900
06/06/2023,11.68883226203599,15699200
06/05/2023,11.485528520486346,21391000
06/02/2023,10.916717969275703,17803300
06/01/2023,10.538747088072528,7752600
05/31/2023,10.45319858572267,19694100
05/30/2023,10.539270050013236,8836800
05/29/2023,10.349790866532231,6673700
05/26/2023,10.247111111111112,6147200
05/25/2023,10.332203583737325,9067700
05/24/2023,10.398395491272968,6570200
05/23/2023,10.491654283941891,11038600
05/22/2023,10.644134356479244,10780300
05/19/2023,10.636597451285255,16276700
05/18/2023,10.280448024017783,10317900
05/17/2023,10.189609652855054,11433600
05/16/2023,10.284705847893264,12098400
05/15/2023,10.1581213537304,7643500
05/12/2023,10.130491968019863,11147700
05/11/2023,10.227771618212799,23665200
05/10/2023,9.637390399762223,9341100
05/09/2023,9.847531640885203,8656700
05/08/2023,9.708881883923606,10416500
05/02/2023,9.768515127096917,11144900
05/01/2023,9.483298614651769,6365100
04/28/2023,9.355578084365495,16013900
04/27/2023,9.473259876377318,9036400
04/26/2023,9.572691809489582,5779600
04/25/2023,9.65256729922212,6730000
04/24/2023,9.590559734529736,4592600
04/21/2023,9.60135215630212,7935900
04/20/2023,9.570769988213705,6962200
04/19/2023,9.622523833565976,6177400
04/18/2023,9.568378077815842,7193400
04/17/2023,9.586280240660999,12440900
04/14/2023,9.312101243857379,5908400
04/13/2023,9.330584379295242,5960200
04/12/2023,9.283042674958319,5252900
04/11/2023,9.130984724311622,4110800
04/10/2023,9.042720217713116,4363300
04/07/2023,9.171115907455793,5453200
04/06/2023,9.116936769999544,7955800
04/05/2023,9.470492541987124,14679000
04/04/2023,9.227150282657359,8505700
04/03/2023,9.176495477865341,9114200
03/31/2023,8.891630433147276,7656000
03/30/2023,8.872395735222092,5435500
03/29/2023,8.887882903274484,7448500
03/28/2023,8.825909694757899,3674000
03/27/2023,8.729706094825291,4310100
03/24/2023,8.65643552236979,5026900
03/23/2023,8.679227969290062,7555000
03/22/2023,8.710171037456373,5494200
03/20/2023,8.686788778677052,5587200
03/17/2023,8.75473868202214,6061600
03/16/2023,8.716561466786894,4925400
03/15/2023,8.87506980815963,5304300
03/14/2023,8.655755259263666,6923300
03/13/2023,9.024999812370066,5136500
03/10/2023,9.053193065639356,8049900
03/09/2023,9.153318077803204,6761900
03/08/2023,8.963569077146548,5072700
03/07/2023,8.962091885180046,6510500
03/06/2023,8.924631541788015,4941500
03/03/2023,8.936960479182572,8459700
03/02/2023,8.812392175209801,8302100
03/01/2023,8.662847561827581,5220000
02/28/2023,8.720054656450417,8852700
02/27/2023,8.725068611767469,5330000
02/24/2023,8.643841446412585,6752200
02/22/2023,8.65659452837893,5184900
02/21/2023,8.768479487027252,4687800
02/20/2023,8.803460233416608,7205400
02/17/2023,8.955079505629014,6309900
02/16/2023,8.99371819931661,6427300
02/15/2023,8.847119100989715,9635300
02/14/2023,8.764340793680645,4155500
02/13/2023,8.841360093384042,5539800
02/10/2023,8.779537742882793,4934300
02/09/2023,8.806523463721243,6099600
02/08/2023,8.758646404845791,5110300
02/07/2023,8.800980593685525,6253100
02/06/2023,8.733986435568953,5760500
02/03/2023,8.806635910910146,12759700
02/02/2023,9.268201501604413,5324800
02/01/2023,9.22266649136511,4123600
01/31/2023,9.221972887399712,5306100
01/30/2023,9.215794560265083,7732500
01/27/2023,9.39823581028033,12283200
01/26/2023,9.183211785185696,10710100
01/25/2023,9.02368573079145,6484900
01/24/2023,8.894277027287073,7205400
01/23/2023,8.707800658348006,5922600
01/20/2023,8.828534686554292,6427100
01/19/2023,8.837263600280178,5545600
01/18/2023,8.89034206797764,6036600
01/17/2023,8.816897232430577,5781000
01/16/2023,8.642282620533004,5796000
01/13/2023,8.64271050445848,7989100
01/12/2023,8.666867056656415,7645200
01/11/2023,8.377295265696107,5165200
01/10/2023,8.29701262144738,5746000
01/06/2023,8.268049329046477,5702200
01/05/2023,8.129533562397539,6765400
01/04/2023,8.264619252057638,7278500
12/30/2022,8.420980792125757,4212000
12/29/2022,8.401155158834339,4384700
12/28/2022,8.358039957688355,5247000
12/27/2022,8.416965844956941,3263700
12/26/2022,8.507213455087028,2710500
12/23/2022,8.42996987951807,5114100
12/22/2022,8.651564837622596,5193400
12/21/2022,8.667938468992247,9455900
12/20/2022,9.056233155177926,7143000
12/19/2022,8.8326325624854,5185600
12/16/2022,9.019128602163129,5994200
12/15/2022,8.982797198733037,4883200
12/14/2022,9.163896473940401,5528600
12/13/2022,9.034046274474928,5577200
12/12/2022,8.888500956495808,4491200
12/09/2022,9.001312615037142,8254000
12/08/2022,8.97616119018333,10262200
12/07/2022,9.056606533041807,6100500
12/06/2022,9.116748591647314,4452400
12/05/2022,9.103769781641464,6928200
12/02/2022,9.25139103383556,8143500
12/01/2022,9.42375227311212,7372900
11/30/2022,9.142250256542736,9897700
11/29/2022,9.058389940742883,8527800
11/28/2022,9.210317860383391,5106600
11/25/2022,9.237178566297946,5654100
11/24/2022,9.37748248718134,9514300
11/22/2022,9.217209229942135,15346900
11/21/2022,8.887495508697276,7389500
11/18/2022,8.969154683971299,9211700
11/17/2022,8.747786383323733,5170700
11/16/2022,8.70594141059199,6406200
11/15/2022,8.649289099526067,6077400
11/14/2022,8.650531354169635,7615500
11/11/2022,8.776719956888808,7301500
11/10/2022,8.450098977816289,6647800
11/09/2022,8.299323454490674,7622400
11/08/2022,8.448186973706822,8485200
11/07/2022,8.402071351085821,13209800
11/04/2022,8.551916281598261,15765600
11/02/2022,8.52545057754149,34820900
11/01/2022,7.714694720920496,24160900
10/31/2022,7.1626104333900775,9378700
10/28/2022,7.1381603476209525,9091900
10/27/2022,7.3079561042524,4377300
10/26/2022,7.308385194890271,4816900
10/25/2022,7.23130698676349,4764800
10/24/2022,7.058341340177786,4498000
10/21/2022,7.0252395734916995,4649400
10/20/2022,6.967163860216059,7720400
10/19/2022,7.0649198018082995,3495100
10/18/2022,7.070192604109424,5668300
10/17/2022,6.9945818040038175,4535300
10/14/2022,7.065685957538528,7067300
10/13/2022,6.942887616252607,4055800
10/12/2022,6.974701813626709,4884000
10/11/2022,7.1172667499416615,5760500
10/07/2022,7.2451291657770955,7054200
10/06/2022,7.4256741821397,5779800
10/05/2022,7.34501906182662,6556500
10/04/2022,7.250943592229648,7080400
10/03/2022,7.102223515635286,5984400
09/30/2022,7.011687297407506,7218800
09/29/2022,7.162183670221233,7848400
09/28/2022,7.1730249948071725,7439000
09/27/2022,7.201695816387828,5981000
09/26/2022,7.2463266111992475,10285600
09/22/2022,7.6983105899225945,5413700
09/21/2022,7.635362029250964,5687900
09/20/2022,7.753421036154804,5667700
09/16/2022,7.867903151357476,7361500
09/15/2022,7.878737170905845,6363100
09/14/2022,7.806535215213813,6817600
09/13/2022,7.900630247731039,4551200
09/12/2022,8.087351831423332,6887400
09/09/2022,7.910726313426134,6696800
09/08/2022,7.869119006093791,9900400
09/07/2022,7.559656907878797,6577900
09/06/2022,7.7291271579625045,3938700
09/05/2022,7.827287346834218,6038500
09/02/2022,8.002227203289408,5455100
09/01/2022,8.050396266731461,5025900
08/31/2022,8.173187903970453,14773000
08/30/2022,8.080385782557611,5074000
08/29/2022,8.007502524888183,6282100
08/26/2022,8.212370292643115,4446700
08/25/2022,8.215129591291817,4206800
08/24/2022,8.233669645009753,5134600
08/23/2022,8.283359146193765,6485400
08/22/2022,8.348409878588399,4603500
08/19/2022,8.3416007703306,4570000
08/18/2022,8.416299640993374,4168100
08/17/2022,8.540378406731827,6031500
08/16/2022,8.437718762567211,3833400
08/15/2022,8.484128892629554,3547900
08/12/2022,8.446666616767587,8542100
08/10/2022,8.41135608577469,5937400
08/09/2022,8.198847048711452,6162700
08/08/2022,8.33005281023226,5318700
08/05/2022,8.275907912521326,7587300
08/04/2022,8.286732970538564,4802600
08/03/2022,8.204841713221601,5123400
08/02/2022,8.342940355560948,6683100
08/01/2022,8.488152270466848,8782700
07/29/2022,8.198625568620397,11789400
07/28/2022,8.33444905609854,6560500
07/27/2022,8.123177842565598,5669200
07/26/2022,8.226296336956125,3842500
07/25/2022,8.255605545191852,3463100
07/22/2022,8.3560446341338,4786900
07/21/2022,8.253777397905228,4732700
07/20/2022,8.313719810261794,6501000
07/19/2022,8.154500210391909,3507900
07/15/2022,8.043960170121816,4267600
07/14/2022,8.043415756181714,5598100
