Pricing Date,MG | Share Price (Daily)($)
01/26/2023,61.912249176400124
01/25/2023,60.94935907462442
01/24/2023,60.82360779440497
01/23/2023,65.4753448727055
01/20/2023,63.79027446300716
01/19/2023,63.00222386953298
01/18/2023,64.1686147798508
01/17/2023,65.14675013259429
01/16/2023,63.945151460835284
01/13/2023,63.96701362999196
01/12/2023,63.84329305632309
01/11/2023,62.26503584482874
01/10/2023,61.088720191312
01/09/2023,60.81237795252026
01/06/2023,61.48374738280148
01/05/2023,59.65403018034597
01/04/2023,59.305536022265485
01/03/2023,57.52562225475841
12/30/2022,56.1983715328575
12/29/2022,57.19362663776386
12/28/2022,55.150088287227774
12/23/2022,55.474592239298126
12/22/2022,54.97071742313323
12/21/2022,56.48825822364799
12/20/2022,55.89492750966171
12/19/2022,57.050395003697446
12/16/2022,57.14598700065727
12/15/2022,58.158544900038855
12/14/2022,59.70655709891342
12/13/2022,59.94592677954083
12/12/2022,59.5134443021767
12/09/2022,58.31577865693881
12/08/2022,58.47027914130747
12/07/2022,58.053450222098434
12/06/2022,58.77866514128147
12/05/2022,59.453075986271536
12/02/2022,61.29434651539226
12/01/2022,61.60731572911548
11/30/2022,61.19192381852971
11/29/2022,60.0669367623745
11/28/2022,60.0211174397335
11/25/2022,61.53972680578089
11/24/2022,61.12777444511098
11/23/2022,61.30906158532943
11/22/2022,61.68245208442091
11/21/2022,61.14430589944698
11/18/2022,62.03173368825614
11/17/2022,61.48108763863198
11/16/2022,62.14039989784729
11/15/2022,63.425026725085445
11/14/2022,62.01480343656584
11/11/2022,62.612843042850265
11/10/2022,58.867512580285776
11/09/2022,55.65422887420762
11/08/2022,56.11735051531015
11/07/2022,56.602095055934875
11/04/2022,56.44755534509293
11/03/2022,55.22271804092566
11/02/2022,54.56944902672386
11/01/2022,55.72966244416783
10/31/2022,55.67206863679696
10/28/2022,56.07915675739159
10/27/2022,54.93919904080289
10/26/2022,54.6630441202528
10/25/2022,53.86740331491712
10/24/2022,52.481576779817914
10/21/2022,51.415286847014926
10/20/2022,50.48802906289666
10/19/2022,50.79963735267453
10/18/2022,51.3075116690343
10/17/2022,50.92140724014859
10/14/2022,48.901641589826035
10/13/2022,48.73133246338988
10/12/2022,47.42226185556546
10/11/2022,47.23284173262048
