Pricing Date,PIRC | Share Price (Daily)($)
07/18/2022,4.230221679886109
07/15/2022,4.128153380423814
07/14/2022,3.879655586704045
07/13/2022,3.9959636730575174
07/12/2022,4.113325281803543
07/11/2022,4.098608590441621
07/08/2022,4.213740458015267
07/07/2022,4.139298423995933
07/06/2022,3.9356612032983813
07/05/2022,3.866407130416966
07/04/2022,4.070288872666597
07/01/2022,4.095069690035365
06/30/2022,4.051850303157014
06/29/2022,4.211077374096954
06/28/2022,4.297442374486896
06/27/2022,4.290716180371353
06/24/2022,4.277426160337552
06/23/2022,4.170347003154575
06/22/2022,4.451742769361161
06/21/2022,4.47751741608613
06/20/2022,4.4850463352990735
06/17/2022,4.43653866276028
06/16/2022,4.234527687296417
06/15/2022,4.382606886507854
06/14/2022,4.183163158991457
06/13/2022,4.245332220715553
06/10/2022,4.549089761128065
06/09/2022,4.742004264392325
06/08/2022,4.8555782239879735
06/07/2022,4.908021390374331
06/06/2022,4.994118276120202
06/03/2022,4.903536977491962
06/02/2022,5.008581849388543
06/01/2022,4.954724619154149
05/31/2022,4.937238493723849
05/30/2022,5.031805929919137
05/27/2022,4.922862652667667
05/26/2022,4.915254237288136
05/25/2022,4.729311265349707
05/24/2022,4.722103004291845
05/23/2022,4.8204744603547764
05/20/2022,4.762105707353097
05/19/2022,4.813128639491795
05/18/2022,4.801133382306643
05/17/2022,4.936802190857384
05/16/2022,4.895963379109447
05/13/2022,4.944311439575309
05/12/2022,4.830782047276893
05/11/2022,4.816025303110174
05/10/2022,4.707183484305878
05/09/2022,4.530706836616455
05/06/2022,4.715541900625066
05/05/2022,4.672759743670555
05/04/2022,4.8336326185697684
05/03/2022,4.826568265682657
05/02/2022,4.850808993486027
04/29/2022,5.003688481399515
04/28/2022,4.9942123539934755
04/27/2022,4.9177908937605395
04/26/2022,4.877450980392157
04/25/2022,5.03160827172399
04/22/2022,5.114800043117388
04/21/2022,5.299674267100977
04/20/2022,5.163391597003583
04/19/2022,4.970854922279793
04/14/2022,4.909758997082028
04/13/2022,4.907196352979485
04/12/2022,4.830508474576271
04/11/2022,4.820378837361202
04/08/2022,4.844463780726561
04/07/2022,4.8119070984625445
04/06/2022,4.954188481675392
04/05/2022,5.247513932903507
04/04/2022,5.361108057601408
04/01/2022,5.415011037527592
03/31/2022,5.477671628526994
03/30/2022,5.578125
03/29/2022,5.56998556998557
03/28/2022,5.240342405618964
03/25/2022,5.274145698274914
03/24/2022,5.243124312431243
03/23/2022,5.331719661128837
03/22/2022,5.345814977973568
03/21/2022,5.2683896620278325
03/18/2022,5.363938053097345
03/17/2022,5.386752611691487
03/16/2022,5.3945196434466824
03/15/2022,5.114420234315122
03/14/2022,5.119727592267135
03/11/2022,4.958397197284869
03/10/2022,5.001100352112676
03/09/2022,5.18280522933747
03/08/2022,4.6150495480779705
03/07/2022,4.695916594265856
03/04/2022,4.7216764898493775
03/03/2022,5.146425019339153
03/02/2022,5.226844148641154
03/01/2022,5.113926864510392
02/28/2022,5.550814149354295
02/25/2022,5.847228481297883
02/24/2022,5.6410827670714045
02/23/2022,6.393665158371041
02/22/2022,6.420957133136766
02/21/2022,6.36281179138322
02/18/2022,6.525385312783318
02/17/2022,6.674244146396908
02/16/2022,6.6712141882673945
02/15/2022,6.815134643790479
02/14/2022,6.616932293432802
02/11/2022,6.856751824817518
02/10/2022,7.145318782309017
02/09/2022,6.996797804208601
02/08/2022,7.001598538479104
02/07/2022,6.906639241229574
02/04/2022,6.911545943471793
02/03/2022,7.141550423050537
02/02/2022,7.1079981924988695
02/01/2022,7.1081628063863285
01/31/2022,6.980286738351254
01/28/2022,6.875767384752763
01/27/2022,7.01014832162373
01/26/2022,6.954755726052127
01/25/2022,6.993795826283136
01/24/2022,6.887656974770901
01/21/2022,7.304071679709652
01/20/2022,7.365914502778094
01/19/2022,7.45431846555442
01/18/2022,7.422096317280453
01/17/2022,7.5610312571298195
01/14/2022,7.625356938892063
01/13/2022,7.678899082568807
01/12/2022,7.530271875713959
01/11/2022,7.480968071810022
01/10/2022,7.384754785366406
01/07/2022,7.287366749829894
01/06/2022,7.276220614828208
01/05/2022,7.362102163325405
01/04/2022,6.978531073446328
01/03/2022,6.946702800361337
12/30/2021,6.915760869565217
12/29/2021,6.940535633227417
12/28/2021,6.9012331711732084
12/27/2021,6.912797281993205
12/23/2021,6.898268643204707
12/22/2021,6.8170482883699846
12/21/2021,6.710985915492959
12/20/2021,6.638788426763109
12/17/2021,6.742586537377382
12/16/2021,6.771422111688899
12/15/2021,6.72448749718405
12/14/2021,6.699729486023444
12/13/2021,6.746470920383964
12/10/2021,6.754157710148206
12/09/2021,6.729857819905215
12/08/2021,6.746004760285618
12/07/2021,6.663669064748202
12/06/2021,6.480207510995828
12/03/2021,6.260300259622982
12/02/2021,6.264842248105846
12/01/2021,6.32163080407701
11/30/2021,6.118124436429215
11/29/2021,6.090386565986702
11/26/2021,6.1808305986194405
11/25/2021,6.440183877116268
11/24/2021,6.548751819097727
11/23/2021,6.513461755097443
11/22/2021,6.599842324586102
11/19/2021,6.536850447186686
11/18/2021,6.570585565138448
11/17/2021,6.6078896801175535
11/16/2021,6.625085053300068
11/15/2021,6.616403929632168
11/12/2021,6.594161419576416
11/11/2021,6.379270809447375
11/10/2021,6.392156862745098
11/09/2021,6.3741606853438295
11/08/2021,6.418636995827539
11/05/2021,6.470996071180957
11/04/2021,6.302540415704388
11/03/2021,6.261292564280751
11/02/2021,6.162400092667672
11/01/2021,6.172209989570054
10/29/2021,6.142460684551342
10/28/2021,6.237589066697815
10/27/2021,6.155985629852823
10/26/2021,6.172753623188406
10/25/2021,6.031819765416328
10/22/2021,5.8857741072467125
10/21/2021,5.901257568700512
10/20/2021,5.9082440614811365
10/19/2021,5.8249941819874325
10/18/2021,5.813413785100951
10/15/2021,5.897911832946635
10/14/2021,5.862588344340169
10/13/2021,5.8088405461698684
10/12/2021,5.813228673669629
10/11/2021,5.795625506307141
10/08/2021,5.7794236778150685
10/07/2021,5.767985195466112
10/06/2021,5.653327182562565
10/05/2021,5.830044114232645
10/04/2021,5.803415824329035
10/01/2021,5.889172269881753
09/30/2021,5.887807139545665
09/29/2021,5.915427509293679
09/28/2021,5.9892548469983655
09/27/2021,6.112801310554645
09/24/2021,6.159250585480093
09/23/2021,6.116652975002934
09/22/2021,6.071135109754666
09/21/2021,5.997187719709398
09/20/2021,5.964088721980988
09/17/2021,6.075830496537153
09/16/2021,6.094117647058823
09/15/2021,6.081304656109667
